query_pattern,response_template,context_needed,tone
"what.*api.*status","Bhai, 5paisa API ka status abhi {api_status} hai. Offline rahega toh no trades allowed. Connectivity check kar! ⚠️ Do your own research!","api_status","serious"
"check.*login.*mode","Login mode {demo_status} hai bhai. Demo mode mein test kar sakte ho, lekin live trade nahi jayenge. Broker credentials add kar! 😎 Do your own research!","demo_status","witty"
"am.*i.*logged","Bhai, tu logged in hai 5paisa ke saath. Account type: {account_type}, margin facility available hai. Khel ja! 😜 Do your own research!","account_type","witty"
"run.*engine","Engine chal raha hai bhai! Nifty {nifty_close}, VIX {vix}, IV {iv}%. Market regime: {regime}. Recommended strategy: {strategy_name}. Margin {margin}% ke andar khelo! 😎 Do your own research!","nifty_close,vix,iv,regime,strategy_name,margin","witty"
"check.*portfolio.*pnl","Portfolio PnL ₹{weekly_pnl:,.2f} hai bhai, exposure {exposure:.2f}%. Margin {margin}% used, loss risk {loss_risk}% pe dhyan de! 😎 Do your own research!","weekly_pnl,exposure,margin,loss_risk","witty"
"why.*locked.*panel","Strategy panel locked hai bhai! 2 rule violations hai tere. Journal likhke apni biases dikhao warna unlock nahi hoga! 😬 Do your own research!","violations","serious"
"check.*weekly.*loss","Weekly loss limit exceed ho gya bhai! ₹{weekly_loss:,.2f} hogaya hai. Engine lock hoga jab tak tu journal nahi likhega. Chill karo! ⚠️ Do your own research!","weekly_loss","serious"
"view.*journal.*prompt","Bhai, journal prompt hai: Why this strategy? Kya seekha isse? Next time kya badlega? Score {discipline_score}/10 hai! 📝 Do your own research!","discipline_score","motivational"
"what.*discipline.*score","Discipline score tera trading ka mirror hai bhai! Abhi {discipline_score}/10 hai. Journal likho ya engine band kar dega! 😬 Do your own research!","discipline_score","serious"
"suggest.*behavioral.*bias","Bhai, teri last {trade_count} trades mein FOMO bias dikha! Journal likh warna engine band hoga! 😬 Do your own research!","trade_count,bias","serious"
"check.*risk.*flags","Bhai, tera {strategy_name} pe risk flags: {Risk_Flags}. High loss ya market event ka risk. Hedge ya wait kar! 😬 Do your own research!","strategy_name,Risk_Flags","serious"
"what.*confidence.*level","Confidence level teri strategy ki strength batata hai bhai! Abhi {confidence_level:.2f}. Higher = safer trade. Sharpe ratio & backtest win rate se calculate hota hai! 📈 Do your own research!","confidence_level","witty"
"explain.*backtest.*winrate","Backtest win rate {backtest_win_rate:.2f}% hai bhai. 60%+ hone par strong signal hai. Slippage aur IV {iv}% adjust karo! 😎 Do your own research!","backtest_win_rate,iv","witty"
"show.*sharpe.*ratio","Sharpe ratio risk-reward ka mirror hai bhai. Abhi {sharpe_ratio:.2f}, 1+ hone par solid hai. Strategy {strategy_name} check kar! 📊 Do your own research!","sharpe_ratio,strategy_name","witty"
"what.*value.*at.*risk","VaR worst case loss batata hai bhai. 1-day VaR ₹{var_absolute:,.2f} at 99% confidence. Hedge kar le! ⚠️ Do your own research!","var_absolute","serious"
"check.*max.*drawdown","Max drawdown ₹{drawdown} hai bhai – itna loss ho sakta tha. Strategy {strategy_name} pe IV {iv}% check kar! ⚠️ Do your own research!","drawdown,strategy_name,iv","serious"
"why.*trade.*blocked","Trade blocked hai bhai! Reason: {reason}. VIX {vix}% >25 ya Exposure {exposure}% >70%! Rule follow kar warna engine band! ⚠️ Do your own research!","reason,vix,exposure","serious"
"should.*override.*warning","Override na kar bhai! Engine ne warning di hai coz {risk_flags}. Agar override kiya toh discipline score kam jayega! 😬 Do your own research!","risk_flags","serious"
"check.*intraday.*mode","Intraday mode unlocked hai bhai! Par sirf VIX {vix}% >18 aur capital ≤20% par. Journal fill karne ke baad hi khele! 😎 Do your own research!","vix,capital","witty"
"enter.*intraday.*mode","Bhai, intraday mode mei entry allowed hai. Market regime: {regime}, VIX {vix}%, confidence {confidence_level:.2f}. Leverage par dhyan de! 😎 Do your own research!","regime,vix,confidence_level","witty"
"exit.*intraday.*mode","Intraday mode exit kr diya gaya hai bhai! Market calm hai aur VIX {vix}% <18. Margin safe hai! 😜 Do your own research!","vix","witty"
"change.*capital.*preference","Capital preference ₹{capital:,.0f} set hai bhai! Strategy engine iski basis pe risk-adjusted recommendations dega. Change karna ho toh sidebar dekho! 😎 Do your own research!","capital","witty"
"change.*dte.*preference","DTE preference abhi {dte_preference} days hai bhai! Engine iske hisaab se expiry select karega. Regime change hone par automatic adjust bhi ho sakta hai! 😜 Do your own research!","dte_preference","witty"
"update.*risk.*profile","Risk profile abhi {risk_profile} hai bhai. Conservative → sahi hai agar ₹1L tak hai, par zyada bold play ke liye aggressive lagao! 😎 Do your own research!","risk_profile","witty"
"what.*regime.*transition","Market regime transition ho raha hai bhai! From {old_regime} to {new_regime}. Confidence {confidence_level:.2f} hai. Strategy adjust karo! 😜 Do your own research!","old_regime,new_regime,confidence_level","witty"
"check.*gamma.*spike","Gamma spike hai bhai! {gamma} hai aur IV {iv}%. Straddle position risky hai. Hedge daalo warna loss badh jayega! ⚠️ Do your own research!","gamma,iv","serious"
"what.*theta.*decay","Theta decay har din premium ghata deta hai bhai! Abhi {theta} hai. DTE {dte} days hai – short strangle ke liye accha hai! 😎 Do your own research!","theta,dte","witty"
"check.*vega.*impact","Vega impact hai bhai! IV 1% badhne se premium {vega} badhta hai. Abhi IV {iv}% hai, soch le! 😎 Do your own research!","vega,iv","witty"
"apply.*hedging","Hedge laga diya gaya hai bhai – put spread ya futures ke zariye. Exposure {exposure}% reduce hua. Margin {margin}% check kar! 😎 Do your own research!","exposure,margin","witty"
"remove.*hedging","Hedge hataya gaya hai bhai. Position zyada open hai ab. Gamma {gamma} aur IV {iv}% ke according risk manage karo! 😬 Do your own research!","gamma,iv","serious"
"analyze.*trade.*cost","Trade cost ₹{trade_cost:,.2f} hai bhai, slippage {slippage}%. Low-cost strategy banane ke liye optimize kar! 😎 Do your own research!","trade_cost,slippage","witty"
"optimize.*trading.*cost","Slippage {slippage}% hai bhai. Limit orders use karke aur timing improve karke cost kam kiya ja sakta hai! 😎 Do your own research!","slippage","witty"
"check.*position.*size","Position size ₹{position_size:,.0f} hai bhai, margin {margin}% ke bahar hai. Adjust kar warna broker call karega! ⚠️ Do your own research!","position_size,margin","serious"
"reduce.*exposure","Exposure reduce kiya gaya hai bhai! Abhi {exposure}% hai. Margin {margin}% ke andar khel raha hai! 😎 Do your own research!","exposure,margin","witty"
"what.*broker.*message","Broker message: “Margin call” hai bhai! Tumhare paas sirf ₹{available_margin:,.0f} hai. Deposit karo warna position cut ho jayegi! ⚠️ Do your own research!","available_margin","serious"
"receive.*alert","Bhai alert aaya hai: “Regime change detected!” Market low volatility se high volatility ho gaya. Strategy adjust karo! 😬 Do your own research!","regime_change_alert","cautionary"
query_pattern,response_template,context_needed,tone
"what.*volguard","VolGuard ek AI copilot hai jo tujhe NIFTY/BANKNIFTY options bechne me madad karta hai. Disciplined rehna sikhaega, trade block karega agar risky ho, aur journal bhi likhna padega! 😎 Do your own research!","none","witty"
"how.*start.*trading","Sabse pehle, login karo 5paisa ke saath ya demo mode chalu karo. Uske baad 'Run Engine' dabao aur strategy select karo! 😜 Do your own research!","none","witty"
"check.*login.*mode","Bhai, tu logged in hai 5paisa ke saath. Account type: {account_type}, margin facility available hai. Khel ja! 😜 Do your own research!","account_type","witty"
"run.*engine","Engine chal raha hai bhai! Nifty {nifty_close}, VIX {vix}, IV {iv}%. Market regime: {regime}. Recommended strategy: {strategy_name}. Margin {margin}% ke andar khelo! 😎 Do your own research!","nifty_close,vix,iv,regime,strategy_name,margin","witty"
"what.*market.*snapshot","Market snapshot mei live data hai: NIFTY, VIX, ATM strikes, PCR, FII/DII flows. Saare signals ek jagah! 📊 Do your own research!","none","educational"
"explain.*volatility.*forecast","Volatility forecast tera engine ka dimaag hai bhai. GARCH+XGBoost model se predict karta hai ki market kab volatile hoga. Iski help se strategy banegi! 🧠 Do your own research!","none","witty"
"what.*market.*regime","Market regime 4 types mei divide hota hai: Low, Medium, High, Event-Driven. Har ek ke hisaab se strategy alag hoti hai! 😎 Do your own research!","none","witty"
"check.*regime.*transition","Market regime change ho raha hai bhai! From {old_regime} to {new_regime}. Confidence {confidence_level:.2f} hai. Strategy adjust karo! 😜 Do your own research!","old_regime,new_regime,confidence_level","witty"
"suggest.*strategy","Bhai, market regime {regime} hai, IV {iv}%, capital ₹{capital}. Recommended strategy: {strategy_name}, confidence level: {confidence_level:.2f}! 😎 Do your own research!","regime,iv,capital,strategy_name,confidence_level","witty"
"why.*this.*strategy","{strategy_name} recommend kiya kyunki {reason}. Confidence score {confidence_level:.2f}, backtest win rate {backtest_win_rate:.2f}%. Sharpe ratio solid hai! 😎 Do your own research!","strategy_name,reason,confidence_level,backtest_win_rate","witty"
"check.*risk.*flags","Bhai, tera {strategy_name} pe risk flags: {Risk_Flags}. High loss ya market event ka risk. Hedge ya wait kar! 😬 Do your own research!","strategy_name,Risk_Flags","serious"
"block.*trade","Trade blocked hai bhai! Reason: {reason}. VIX {vix}% >25 ya Exposure {exposure}% >70%! Rule follow kar warna engine band! ⚠️ Do your own research!","reason,vix,exposure","serious"
"override.*warning","Override na kar bhai! Engine ne warning di hai coz {risk_flags}. Agar override kiya toh discipline score kam jayega! 😬 Do your own research!","risk_flags","serious"
"what.*discipline.*score","Discipline score tera trading ka mirror hai bhai! Abhi {discipline_score}/10 hai. Journal likho ya engine band hoga! 😬 Do your own research!","discipline_score","serious"
"suggest.*journal.*entry","Bhai, journal mein likh: trade kyun kiya, kya seekha, next kya change karega. Score {discipline_score}/10 hai, improve kar! 😎 Do your own research!","discipline_score","motivational"
"view.*journal","Journal dekh le bhai – last {trade_count} trades mei tu {bias_count} baar {bias} bias dikhaya. Sambhal jao warna engine band! 😬 Do your own research!","trade_count,bias_count,bias","serious"
"check.*portfolio.*pnl","Bhai, tera weekly PnL ₹{weekly_pnl:,.2f} hai, exposure {exposure:.2f}%. Margin {margin}% used, loss risk {loss_risk}% pe dhyan de! 😎 Do your own research!","weekly_pnl,exposure,margin,loss_risk","witty"
"check.*weekly.*loss","Weekly loss limit exceed ho gya bhai! ₹{weekly_loss:,.2f} hogaya hai. Engine lock hoga jab tak tu journal nahi likhega. Chill karo! ⚠️ Do your own research!","weekly_loss","serious"
"check.*exposure","Bhai, portfolio exposure {exposure}% hai, margin {margin}% used. {exposure}% high hai toh position cut ya hedge kar! 😬 Do your own research!","exposure,margin","serious"
"check.*margin","Margin usage {margin}% hai bhai. Zada ho gaya toh broker call karega! Position reduce kar warna engine band! ⚠️ Do your own research!","margin","serious"
"apply.*hedging","Hedge laga diya gaya hai bhai – put spread ya futures ke zariye. Exposure {exposure}% reduce hua. Margin {margin}% check kar! 😎 Do your own research!","exposure,margin","witty"
"remove.*hedging","Hedge hataya gaya hai bhai. Position zyada open hai ab. Gamma {gamma} aur IV {iv}% ke according risk manage karo! 😬 Do your own research!","gamma,iv","serious"
"what.*greeks","Greeks tera trade ka GPS hain, bhai. Delta, gamma, theta, vega, rho sab ka khel. Abhi delta {delta}, IV {iv}% hai. Seekh le! 😎 Do your own research!","delta,iv","witty"
"explain.*delta","Delta tera trade ka direction batata hai, bhai. {delta} matlab price ₹1 move karega toh option {delta} move karega. IV {iv}% pe adjust kar! 😎 Do your own research!","delta,iv","witty"
"what.*gamma","Gamma delta ki speed hai, bhai. Abhi {gamma}, high hai toh risk bhi zyada. IV {iv}% pe careful khel! 😜 Do your own research!","gamma,iv","witty"
"explain.*theta","Theta time ka dushman hai, bhai. Har din premium {theta} ghata deta hai. DTE {dte} days hai, short plays ke liye dhyan de! 😎 Do your own research!","theta,dte","witty"
"what.*vega","Vega IV ka khel hai, bhai. IV 1% badhe toh premium {vega} badhta hai. Abhi IV {iv}%, soch le! 😬 Do your own research!","vega,iv","witty"
"what.*rho","Rho interest rate ka asar hai, bhai. Abhi {rho}, chhota factor par long-term trades mein dhyan de. IV {iv}% hai! 😜 Do your own research!","rho,iv","witty"
"check.*greeks","Bhai, current Greeks: Delta {delta}, Gamma {gamma}, Theta {theta}, Vega {vega}. IV {iv}% hai, risk manage karo! 😬 Do your own research!","delta,gamma,theta,vega,iv","serious"
"what.*options","Options ek contract hai, bhai, jo stock ya index kharidne/bechne ka right deta hai. Call = buy, Put = sell. IV {iv}% pe check kar! 😜 Do your own research!","iv","witty"
"what.*call.*option","Call option stock kharidne ka right deta hai, bhai. Premium de, expiry tak faida le. IV {iv}% pe costly ho sakta hai! 😜 Do your own research!","iv","witty"
"what.*put.*option","Put option bechne ka right deta hai, bhai. Bearish market mein kaam aata hai. IV {iv}% pe check kar! 😎 Do your own research!","iv","witty"
"what.*moneyness","Moneyness strike ka status hai, bhai. ITM = faida, OTM = sasta, ATM = balanced. IV {iv}% pe strategy bana! 😜 Do your own research!","iv","witty"
"what.*breakeven","Breakeven woh price jahan na profit na loss, bhai. Abhi {breakeven} pe hai, IV {iv}% dekh le! 😎 Do your own research!","breakeven,iv","witty"
"what.*premium","Premium option ka price hai, bhai. IV {iv}% aur DTE {dte} pe depend karta hai. Check kar le! 😜 Do your own research!","iv,dte","witty"
"what.*strike.*price","Strike price woh level hai jahan option use hota hai, bhai. Call ya put ka base yahi hai. IV {iv}% pe premium dekh! 😎 Do your own research!","iv","witty"
"what.*straddle","Straddle call + put dono ke sath hai, bhai. High IV {iv}% pe accha, breakeven {breakeven}, exposure {exposure}% pe dhyan de! 💪 Do your own research!","iv,breakeven,exposure","witty"
"what.*strangle","Strangle straddle jaisa hai, bhai, par alag strike pe call aur put. Cheaper, par bada move chahiye. IV {iv}% pe soch! 😎 Do your own research!","iv","witty"
"what.*iron.*condor","Iron condor low-risk hai, bhai, coz market range-bound (IVP {ivp}%). Max loss ₹{Max_Loss:,.0f}, breakeven {breakeven}. Exposure {exposure}% check kar! 😎 Do your own research!","ivp,Max_Loss,breakeven,exposure","witty"
"what.*butterfly.*spread","Butterfly spread tight range ke liye hai, bhai. Call ya put ke teen strikes. IV {iv}% pe low risk, backtest kar! 😜 Do your own research!","iv","witty"
"what.*calendar.*spread","Calendar spread alag expiry ke options ka khel hai, bhai. IV {iv}% pe premium accha. Backtest aur margin {margin}% check kar! 😜 Do your own research!","iv,margin","witty"
"what.*jade.*lizard","Jade Lizard ek beast hai! Call spread + put bechta hai. High IV {iv}% pe khele, unlimited profit if market goes up. Margin {margin}% check kar! 😎 Do your own research!","iv,margin","witty"
"what.*ratio.*backspread","Ratio backspread high IV {iv}% mein kamzor hai, bhai. Market bahut niche girne par profit, warna loss. Gamma {gamma} aur margin {margin}% dekh le! ⚠️ Do your own research!","iv,gamma,margin","serious"
"what.*iron.*fly","Iron fly hedged hai, bhai. Short call + put ek strike pe, wings ke liye long call + put. IV {iv}% pe premium accha hai! 😜 Do your own research!","iv","witty"
"suggest.*low.*risk","Bhai, IV {iv}% pe iron condor ya butterfly spread try kar. Margin {margin}% ke andar khel, backtest kar! 😜 Do your own research!","iv,margin","witty"
"suggest.*high.*risk","Bhai, high risk ke liye IV {iv}% pe straddle ya naked options try kar, par margin {margin}% tight hai. Backtest kar! 😬 Do your own research!","iv,margin","witty"
"suggest.*beginner.*strategy","Naye ho, bhai? IV {iv}% pe covered call ya cash-secured put try kar. Low risk, par Greeks seekh le! 😜 Do your own research!","iv","witty"
"suggest.*intermediate.*strategy","Intermediate hai toh calendar spread ya jade lizard try kar. IV {iv}% aur margin {margin}% check kar! 😎 Do your own research!","iv,margin","witty"
"suggest.*advanced.*strategy","Advanced trader hai? Ratio backspreads ya iron fly try kar. Gamma {gamma} aur IV {iv}% pe dhyan de! 😬 Do your own research!","gamma,iv","serious"
"check.*backtest","Backtest win rate {backtest_win_rate:.2f}%, Sharpe ratio {backtest_sharpe:.2f}. Slippage aur IV {iv}% adjust karo! 😎 Do your own research!","backtest_win_rate,backtest_sharpe,iv","witty"
"check.*sharpe.*ratio","Sharpe ratio risk-reward ka mirror hai bhai. Abhi {backtest_sharpe:.2f}, 1+ hone par solid. Strategy {strategy_name} check kar! 📊 Do your own research!","backtest_sharpe,strategy_name","witty"
"check.*drawdown","Tera backtest ka max drawdown {max_drawdown}% hai, bhai. Itna loss jhel sakta hai? Strategy {strategy} pe IV {iv}% dekh! ⚠️ Do your own research!","max_drawdown,strategy,iv","serious"
"what.*var|value.*at.*risk","VaR worst case loss batata hai, bhai. 1-day VaR ₹{var_absolute:,.2f} at 99% confidence. Hedge kar le! ⚠️ Do your own research!","var_absolute","serious"
"check.*portfolio.*risk","Bhai, portfolio ka margin {margin}% aur gamma {gamma} high hai. {loss_risk}% loss ka risk. Hedge ya cut kar le! ⚠️ Do your own research!","margin,gamma,loss_risk","serious"
"check.*api.*status","Bhai, 5paisa API ka status abhi {api_status} hai. Offline rahega toh no trades allowed. Connectivity check kar! ⚠️ Do your own research!","api_status","serious"
"check.*trade.*history","Bhai, last {trade_count} trades mein {win_rate}% win rate. {bias} ka pattern dikha. IV {iv}% pe journal likh! 😬 Do your own research!","trade_count,win_rate,bias,iv","serious"
"check.*trade.*frequency","Trade frequency {trade_frequency} trades/day hai, bhai. {trade_frequency} > 5 ho toh overtrading ka risk. Journal likh! 😬 Do your own research!","trade_frequency","serious"
"check.*fomo","Bhai, last {trade_count} trades mein {bias_count} baar FOMO dikha. IV {iv}% pe calm reh, journal check kar! 😬 Do your own research!","trade_count,bias_count,iv","serious"
"check.*revenge.*trades","Revenge trading tab hota hai jab tu loss ka badla leta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. Journal likh! 😬 Do your own research!","trade_count,bias_count","serious"
"check.*overtrading","Overtrading tab hota hai jab tu {trade_frequency} trades/day karta hai, bhai. Last {trade_count} trades mein pattern dikha. Journal likh! 😬 Do your own research!","trade_frequency,trade_count","serious"
"check.*bias","Tera bias {bias} hai, bhai. Last {trade_count} trades mein {bias_count} baar pattern dikha. Journal likh, sambhal le! 😬 Do your own research!","bias,trade_count,bias_count","serious"
"check.*community.*trends","Bhai, {community_hedge}% users hedging kar rahe hain. X pe {buzz_topic} ka buzz hai. IV {iv}% pe plan bana! 😜 Do your own research!","community_hedge,buzz_topic,iv","witty"
"check.*news.*impact","Bhai, latest news: {news_headline}. {impact}% chance market pe asar ka. IV {iv}% pe strategy adjust kar! 😬 Do your own research!","news_headline,impact,iv","serious"
"check.*sentiment","Market sentiment {sentiment}% bullish hai, bhai. News aur flows se banta hai. IV {iv}% pe strategy align kar! 😎 Do your own research!","sentiment,iv","witty"
"check.*pcr","PCR {pcr:.2f} hai, bhai, {pcr_status} vibe dikha raha. High PCR = bearish, puts zyada hain. Adjust kar! 😜 Do your own research!","pcr,pcr_status","witty"
"check.*fii.*flow","FII ne {fii_flow} crore becha, bhai, DII ne {dii_flow} crore kharida. IV {iv}% pe market tension hai. Soch le! 😬 Do your own research!","fii_flow,dii_flow,iv","serious"
query_pattern,response_template,context_needed,tone
"check.*intraday.*mode","Bhai, intraday mode abhi locked hai! VIX {vix}% <18 ya capital >20% set hai. Journal fill karke unlock karo! ⚠️ Do your own research!","vix,capital","serious"
"unlock.*intraday.*mode","Journal likh ke intraday mode unlock karo bhai! Market regime: {regime}, VIX {vix}%, capital ₹{capital}. Discipline score check bhi hoga! 😬 Do your own research!","regime,vix,capital","witty"
"enter.*intraday.*mode","Bhai, intraday mode mei entry allowed hai. Market regime: {regime}, VIX {vix}%, confidence {confidence_level:.2f}. Leverage par dhyan de! 😎 Do your own research!","regime,vix,confidence_level","witty"
"exit.*intraday.*mode","Intraday mode exit kr diya gaya hai bhai! Market calm hai aur VIX {vix}% <18. Margin safe hai! 😜 Do your own research!","vix","witty"
"what.*portfolio.*tracker","Portfolio tracker live PnL, margin, exposure dikhata hai, bhai. Weekly loss limit tak pahuncha toh engine band kar dega! 😬 Do your own research!","none","educational"
"view.*portfolio.*card","Card view mei weekly PnL ₹{weekly_pnl:,.2f}, margin ₹{margin_used:,.2f}, exposure {exposure}% hai bhai! Weekly loss limit tak pahuncha toh engine lock hoga! 😬 Do your own research!","weekly_pnl,margin_used,exposure","serious"
"check.*portfolio.*risk","Bhai, portfolio ka margin {margin}% aur gamma {gamma} high hai. {loss_risk}% loss ka risk. Hedge ya cut kar le! ⚠️ Do your own research!","margin,gamma,loss_risk","serious"
"check.*portfolio.*pnl","Bhai, tera weekly PnL ₹{weekly_pnl:,.2f} hai, exposure {exposure:.2f}%. Margin {margin}% used, loss risk {loss_risk}% pe dhyan de! 😎 Do your own research!","weekly_pnl,exposure,margin,loss_risk","witty"
"check.*portfolio.*sharpe","Sharpe ratio risk-reward ka mirror hai bhai. Abhi {sharpe_ratio:.2f}, 1+ hone par solid hai. Strategy {strategy_name} check kar! 📊 Do your own research!","sharpe_ratio,strategy_name","witty"
"check.*portfolio.*var","VaR worst case loss batata hai bhai. 1-day VaR ₹{var_absolute:,.2f} at 99% confidence. Hedge kar le! ⚠️ Do your own research!","var_absolute","serious"
"check.*portfolio.*drawdown","Max drawdown ₹{drawdown} hai bhai – itna loss ho sakta tha. Strategy {strategy_name} pe IV {iv}% check kar! ⚠️ Do your own research!","drawdown,strategy_name,iv","serious"
"check.*weekly.*loss","Weekly loss limit exceed ho gya bhai! ₹{weekly_loss:,.2f} hogaya hai. Engine lock hoga jab tak tu journal nahi likhega. Chill karo! ⚠️ Do your own research!","weekly_loss","serious"
"check.*exposure.*limit","Exposure limit exceed ho gya hai bhai! {exposure}% >70%! Position reduce karo ya hedge daalo warna engine block karega next trades! ⚠️ Do your own research!","exposure","serious"
"check.*margin.*usage","Margin usage {margin}% hai bhai. Zada ho gaya toh broker call karega! Position reduce kar warna engine band! ⚠️ Do your own research!","margin","serious"
"apply.*hedging","Hedge laga diya gaya hai bhai – put spread ya futures ke zariye. Exposure {exposure}% reduce hua. Margin {margin}% check kar! 😎 Do your own research!","exposure,margin","witty"
"remove.*hedging","Hedge hataya gaya hai bhai. Position zyada open hai ab. Gamma {gamma} aur IV {iv}% ke according risk manage karo! 😬 Do your own research!","gamma,iv","serious"
"check.*api.*status","Bhai, 5paisa API ka status abhi {api_status} hai. Offline rahega toh no trades allowed. Connectivity check kar! ⚠️ Do your own research!","api_status","serious"
"check.*login.*mode","Login mode {demo_status} hai bhai. Demo mode mein test kar sakte ho, lekin live trade nahi jayenge. Broker credentials add kar! 😎 Do your own research!","demo_status","witty"
"am.*i.*logged","Bhai, tu logged in hai 5paisa ke saath. Account type: {account_type}, margin facility available hai. Khel ja! 😜 Do your own research!","account_type","witty"
"run.*engine","Engine chal raha hai bhai! Nifty {nifty_close}, VIX {vix}, IV {iv}%. Market regime: {regime}. Recommended strategy: {strategy_name}. Margin {margin}% ke andar khelo! 😎 Do your own research!","nifty_close,vix,iv,regime,strategy_name,margin","witty"
"update.*capital.*preference","Capital preference ₹{capital:,.0f} set hai bhai! Engine iski basis pe risk-adjusted recommendations dega. Change karna ho toh sidebar dekho! 😎 Do your own research!","capital","witty"
"change.*dte.*preference","DTE preference abhi {dte_preference} days hai bhai! Engine iske hisaab se expiry select karega. Regime change hone par automatic adjust bhi ho sakta hai! 😜 Do your own research!","dte_preference","witty"
"update.*risk.*profile","Risk profile abhi {risk_profile} hai bhai. Conservative → sahi hai agar ₹1L tak hai, par zyada bold play ke liye aggressive lagao! 😎 Do your own research!","risk_profile","witty"
"check.*discipline.*score","Discipline score teri trading ki base hai bhai! Abhi {discipline_score}/10 hai. Daily goals nahi follow kiye toh engine band kar dega! 📉 Do your own research!","discipline_score","serious"
"suggest.*journal.*entry","Bhai, journal mein likh: trade kyun kiya, kya seekha, next kya change karega. Score {discipline_score}/10 hai, improve kar! 😎 Do your own research!","discipline_score","motivational"
"view.*journal.*prompt","Bhai, journal prompt hai: Why this strategy? Kya seekha isse? Next time kya badlega? Score {discipline_score}/10 hai! 📝 Do your own research!","discipline_score","motivational"
"check.*last.*journal","Last journal mein tu {journal_reason} likha, bhai. Discipline score {discipline_score}/10. Abhi likh le, nahi to FOMO mein fas jayega! 📝 Do your own research!","journal_reason,discipline_score","serious"
"suggest.*behavioral.*bias","Bhai, teri last {trade_count} trades mein FOMO bias dikha! Journal likh warna engine band! 😬 Do your own research!","trade_count,bias","serious"
"check.*trade.*pattern","Bhai, last {trade_count} trades mein {bias} pattern {bias_count} baar dikha. IV {iv}% pe journal likh, sambhal le! 😬 Do your own research!","trade_count,bias,bias_count,iv","serious"
"what.*overtrading","Overtrading tab hota hai jab tu {trade_frequency} trades/day karta hai, bhai. Last {trade_count} trades mein pattern dikha. Journal likh! 😬 Do your own research!","trade_frequency,trade_count","serious"
"what.*revenge.*trades","Revenge trading tab hota hai jab tu loss ka badla leta hai, bhai. Last {trade_count} trades mein {bias_count} baar dikha. Journal likh! 😬 Do your own research!","trade_count,bias_count","serious"
"check.*fomo","Bhai, last {trade_count} trades mein {bias_count} baar FOMO bias dikha. IV {iv}% pe calm reh, journal check kar! 😬 Do your own research!","trade_count,bias_count,iv","serious"
"check.*community.*trends","Bhai, {community_hedge}% users hedging kar rahe hain. X pe {buzz_topic} ka buzz hai. IV {iv}% pe plan bana! 😜 Do your own research!","community_hedge,buzz_topic,iv","witty"
"check.*news.*impact","Bhai, latest news: {news_headline}. {impact}% chance market pe asar ka. IV {iv}% pe strategy adjust kar! 😬 Do your own research!","news_headline,impact,iv","serious"
"what.*sentiment","Market sentiment {sentiment}% bullish hai, bhai. News aur flows se banta hai. IV {iv}% pe strategy align kar! 😎 Do your own research!","sentiment,iv","witty"
"check.*pcr","PCR {pcr:.2f} hai, bhai, {pcr_status} vibe dikha raha. High PCR = bearish, puts zyada hain. Adjust kar! 😜 Do your own research!","pcr,pcr_status","witty"
"check.*fii.*flow","FII ne {fii_flow} crore becha, DII ne {dii_flow} crore kharida, bhai. IV {iv}% pe market tense hai. Soch le! 😬 Do your own research!","fii_flow,dii_flow,iv","serious"
"check.*market.*snapshot","Market snapshot mei live data hai: NIFTY, VIX, ATM strikes, PCR, FII/DII flows. Saare signals ek jagah! 📊 Do your own research!","none","educational"
"explain.*volatility.*forecast","Volatility forecast tera engine ka dimaag hai bhai. GARCH+XGBoost model se predict karta hai ki market kab volatile hoga. Iski help se strategy banegi! 🧠 Do your own research!","none","witty"
"what.*regime.*transition","Market regime change ho raha hai bhai! From {old_regime} to {new_regime}. Confidence {confidence_level:.2f} hai. Strategy adjust karo! 😜 Do your own research!","old_regime,new_regime,confidence_level","witty"
"check.*regime.*change","Regime change alert hai bhai! Market low volatility se high volatility ho gaya. Strategy {strategy_name} pe IV {iv}% check kar! 📈 Do your own research!","strategy_name,iv","witty"
"receive.*alert","Bhai alert aaya hai: “Regime change detected!” Market low volatility se high volatility ho gaya. Strategy adjust karo! 😬 Do your own research!","regime_change_alert","cautionary"
"check.*gamma.*spike","Gamma spike hai bhai! {gamma} hai aur IV {iv}%. Straddle position risky hai. Hedge daalo warna loss badh jayega! ⚠️ Do your own research!","gamma,iv","serious"
"check.*theta.*decay","Theta decay har din premium ghata deta hai bhai! Abhi {theta} hai. DTE {dte} days hai – short strangle ke liye accha hai! 😎 Do your own research!","theta,dte","witty"
"check.*vega.*impact","Vega impact hai bhai! IV 1% badhne se premium {vega} badhta hai. Abhi IV {iv}% hai, soch le! 😎 Do your own research!","vega,iv","witty"
"what.*greeks","Greeks tera trade ka GPS hain, bhai. Delta, gamma, theta, vega, rho sab ka khel. Abhi delta {delta}, IV {iv}% hai. Seekh le! 😎 Do your own research!","delta,iv","witty"
"explain.*delta","Delta tera trade ka direction batata hai, bhai. {delta} matlab price ₹1 move karega toh option {delta} move karega. IV {iv}% pe adjust kar! 😎 Do your own research!","delta,iv","witty"
"what.*gamma","Gamma delta ki speed hai, bhai. Abhi {gamma}, high hai toh risk bhi zyada. IV {iv}% pe careful khel! 😜 Do your own research!","gamma,iv","witty"
